CULTIVO,MAIZ
,
Etiquetas de fila,Promedio de Producción
YOTOCO,292.6666667
YUMBO,142.3695652
ZAMBRANO,401.173913
ZAPATOCA,37.42857143
ZAPAYAN,439.3333333
ZARAGOZA,290.1666667
ZARZAL,699.375
ZETAQUIRA,27.25
ZIPACON,19.15
ZIPAQUIRA,29.625
ZONA BANANERA,246.6666667
Total general,648.2417384
